SOA Code,SOA Name,HSCT,AA1998,AA2008,LGD1992NAME,WARD1992(1),WARD1992(2),URBAN_RURAL(2015),Number SAs,SQ Km
95BB08S1,Comber North 1,South Eastern HSCT,STRANGFORD,STRANGFORD,ARDS,COMBER NORTH,,Urban,5,0.34
95BB08S2,Comber North 2,South Eastern HSCT,STRANGFORD,STRANGFORD,ARDS,COMBER NORTH,,Urban,4,3.3
95BB09S1,Comber West 1,South Eastern HSCT,STRANGFORD,STRANGFORD,ARDS,COMBER WEST,,Mixed urban/rural,4,4.96
95BB09S2,Comber West 2,South Eastern HSCT,STRANGFORD,STRANGFORD,ARDS,COMBER WEST,,Urban,5,1.6
95BB10S1,Donaghadee North 1,South Eastern HSCT,NORTH DOWN,NORTH DOWN,ARDS,DONAGHADEE NORTH,,Urban,5,1.16
95BB10S2,Donaghadee North 2,South Eastern HSCT,NORTH DOWN,NORTH DOWN,ARDS,DONAGHADEE NORTH,,Mixed urban/rural,4,14.13
95BB11S1,Donaghadee South 1,South Eastern HSCT,NORTH DOWN,NORTH DOWN,ARDS,DONAGHADEE SOUTH,,Urban,5,1.38
95BB11S2,Donaghadee South 2,South Eastern HSCT,NORTH DOWN,NORTH DOWN,ARDS,DONAGHADEE SOUTH,,Urban,6,0.51
95BB12S1,Glen 1,South Eastern HSCT,STRANGFORD,STRANGFORD,ARDS,GLEN,,Urban,5,0.31
95BB12S2,Glen 2,South Eastern HSCT,STRANGFORD,STRANGFORD,ARDS,GLEN,,Urban,4,4.33
95BB13S1,Gregstown 1,South Eastern HSCT,STRANGFORD,STRANGFORD,ARDS,GREGSTOWN,,Urban,4,1.89
95BB13S2,Gregstown 2,South Eastern HSCT,STRANGFORD,STRANGFORD,ARDS,GREGSTOWN,,Urban,5,0.35
95BB13S3,Gregstown 3,South Eastern HSCT,STRANGFORD,STRANGFORD,ARDS,GREGSTOWN,,Urban,4,0.41
95BB14S1,Killinchy 1,South Eastern HSCT,STRANGFORD,STRANGFORD,ARDS,KILLINCHY,,Rural,4,28.53
95BB14S2,Killinchy 2,South Eastern HSCT,STRANGFORD,STRANGFORD,ARDS,KILLINCHY,,Rural,3,11.81
95BB15S1,Kircubbin 1,South Eastern HSCT,STRANGFORD,STRANGFORD,ARDS,KIRCUBBIN,,Rural,4,34.27
95BB15S2,Kircubbin 2,South Eastern HSCT,STRANGFORD,STRANGFORD,ARDS,KIRCUBBIN,,Rural,4,5.14
95BB16S1,Lisbane 1,South Eastern HSCT,STRANGFORD,STRANGFORD,ARDS,LISBANE,,Mixed urban/rural,4,22.86
95BB16S2,Lisbane 2,South Eastern HSCT,STRANGFORD,STRANGFORD,ARDS,LISBANE,,Mixed urban/rural,4,15.32
95BB17S1,Loughries 1,South Eastern HSCT,STRANGFORD,STRANGFORD,ARDS,LOUGHRIES,,Urban,6,0.54
95BB17S2,Loughries 2,South Eastern HSCT,STRANGFORD,STRANGFORD,ARDS,LOUGHRIES,,Mixed urban/rural,5,19.95
95BB18S1,Millisle 1,South Eastern HSCT,NORTH DOWN,NORTH DOWN,ARDS,MILLISLE,,Rural,5,1.7
95BB18S2,Millisle 2,South Eastern HSCT,NORTH DOWN,NORTH DOWN,ARDS,MILLISLE,,Mixed urban/rural,5,13.51
95BB19S1,Movilla 1,South Eastern HSCT,STRANGFORD,STRANGFORD,ARDS,MOVILLA,,Urban,5,0.58
95BB19S2,Movilla 2,South Eastern HSCT,STRANGFORD,STRANGFORD,ARDS,MOVILLA,,Urban,5,0.62
95BB19S3,Movilla 3,South Eastern HSCT,STRANGFORD,STRANGFORD,ARDS,MOVILLA,,Urban,4,0.25
95BB20S1,Portaferry 1,South Eastern HSCT,STRANGFORD,STRANGFORD,ARDS,PORTAFERRY,,Rural,4,30.01
95BB20S2,Portaferry 2,South Eastern HSCT,STRANGFORD,STRANGFORD,ARDS,PORTAFERRY,,Rural,4,0.58
95BB21S1,Portavogie 1,South Eastern HSCT,STRANGFORD,STRANGFORD,ARDS,PORTAVOGIE,,Rural,5,5.7
95BB21S2,Portavogie 2,South Eastern HSCT,STRANGFORD,STRANGFORD,ARDS,PORTAVOGIE,,Rural,4,17.27
95BB22S1,Scrabo 1,South Eastern HSCT,STRANGFORD,STRANGFORD,ARDS,SCRABO,,Urban,4,3.75
95BB22S2,Scrabo 2,South Eastern HSCT,STRANGFORD,STRANGFORD,ARDS,SCRABO,,Urban,4,0.43
95BB23S1,Whitespots 1,South Eastern HSCT,STRANGFORD,STRANGFORD,ARDS,WHITESPOTS,,Urban,5,0.75
95BB23S2,Whitespots 2,South Eastern HSCT,STRANGFORD,STRANGFORD,ARDS,WHITESPOTS,,Urban,4,1.95
95CC01W1,Abbey Park,Southern HSCT,NEWRY AND ARMAGH,NEWRY AND ARMAGH,ARMAGH,ABBEY PARK,,Urban,6,3.47
95CC02W1,Ballymartrim,Southern HSCT,NEWRY AND ARMAGH,NEWRY AND ARMAGH,ARMAGH,BALLYMARTRIM,,Rural,6,61.4
95CC03W1,Callan Bridge,Southern HSCT,NEWRY AND ARMAGH,NEWRY AND ARMAGH,ARMAGH,CALLAN BRIDGE,,Urban,4,1.39
95CC04W1,Carrigatuke,Southern HSCT,NEWRY AND ARMAGH,NEWRY AND ARMAGH,ARMAGH,CARRIGATUKE,,Rural,6,62.73
95CC05W1,Charlemont,Southern HSCT,NEWRY AND ARMAGH,NEWRY AND ARMAGH,ARMAGH,CHARLEMONT,,Rural,6,34.3
95CC06S1,Demesne 1,Southern HSCT,NEWRY AND ARMAGH,NEWRY AND ARMAGH,ARMAGH,DEMESNE,,Urban,4,2.59
95CC06S2,Demesne 2,Southern HSCT,NEWRY AND ARMAGH,NEWRY AND ARMAGH,ARMAGH,DEMESNE,,Urban,4,0.81
95CC07W1,Derrynoose,Southern HSCT,NEWRY AND ARMAGH,NEWRY AND ARMAGH,ARMAGH,DERRYNOOSE,,Rural,6,69.82
95CC08W1,Downs,Southern HSCT,NEWRY AND ARMAGH,NEWRY AND ARMAGH,ARMAGH,DOWNS,,Urban,4,1.53
95CC09S1,Hamiltonsbawn 1,Southern HSCT,NEWRY AND ARMAGH,NEWRY AND ARMAGH,ARMAGH,HAMILTONSBAWN,,Rural,2,34.67
95CC09S2,Hamiltonsbawn 2,Southern HSCT,NEWRY AND ARMAGH,NEWRY AND ARMAGH,ARMAGH,HAMILTONSBAWN,,Rural,2,20.08
95CC10W1,Hockley,Southern HSCT,NEWRY AND ARMAGH,NEWRY AND ARMAGH,ARMAGH,HOCKLEY,,Rural,6,41.91
95CC11W1,Keady,Southern HSCT,NEWRY AND ARMAGH,NEWRY AND ARMAGH,ARMAGH,KEADY,,Rural,6,1
95CC12W1,Killeen,Southern HSCT,NEWRY AND ARMAGH,NEWRY AND ARMAGH,ARMAGH,KILLEEN,,Rural,5,62.38
95CC13W1,Killylea,Southern HSCT,NEWRY AND ARMAGH,NEWRY AND ARMAGH,ARMAGH,KILLYLEA,,Rural,6,63.97
95CC14W1,Laurelvale,Southern HSCT,NEWRY AND ARMAGH,NEWRY AND ARMAGH,ARMAGH,LAURELVALE,,Rural,6,15.25
95CC15W1,Loughgall,Southern HSCT,NEWRY AND ARMAGH,NEWRY AND ARMAGH,ARMAGH,LOUGHGALL,,Rural,7,32.64
95CC16W1,Markethill,Southern HSCT,NEWRY AND ARMAGH,NEWRY AND ARMAGH,ARMAGH,MARKETHILL,,Rural,7,31.74
95CC17W1,Milford,Southern HSCT,NEWRY AND ARMAGH,NEWRY AND ARMAGH,ARMAGH,MILFORD,,Rural,6,44.32
95CC18W1,Observatory,Southern HSCT,NEWRY AND ARMAGH,NEWRY AND ARMAGH,ARMAGH,OBSERVATORY,,Urban,6,4.18
95CC19W1,Poyntz Pass,Southern HSCT,NEWRY AND ARMAGH,NEWRY AND ARMAGH,ARMAGH,POYNTZ PASS,,Rural,6,59.5
95CC20S1,Rich Hill 1,Southern HSCT,NEWRY AND ARMAGH,NEWRY AND ARMAGH,ARMAGH,RICH HILL,,Rural,4,4.17
95CC20S2,Rich Hill 2,Southern HSCT,NEWRY AND ARMAGH,NEWRY AND ARMAGH,ARMAGH,RICH HILL,,Rural,4,0.92
95CC21W1,Tandragee,Southern HSCT,NEWRY AND ARMAGH,NEWRY AND ARMAGH,ARMAGH,TANDRAGEE,,Rural,7,14.76
95CC22W1,The Mall,Southern HSCT,NEWRY AND ARMAGH,NEWRY AND ARMAGH,ARMAGH,THE MALL,,Urban,7,1.05
95DD01W1,Academy,Northern HSCT,NORTH ANTRIM,NORTH ANTRIM,BALLYMENA,ACADEMY,,Urban,5,2.21
95DD02S1,Ahoghill 1,Northern HSCT,NORTH ANTRIM,NORTH ANTRIM,BALLYMENA,AHOGHILL,,Rural,5,0.48
95DD02S2,Ahoghill 2,Northern HSCT,NORTH ANTRIM,NORTH ANTRIM,BALLYMENA,AHOGHILL,,Rural,6,10.7
95DD03W1,Ardeevin,Northern HSCT,NORTH ANTRIM,NORTH ANTRIM,BALLYMENA,ARDEEVIN,,Urban,6,3.43
95DD04W1,Ballee,Northern HSCT,NORTH ANTRIM,NORTH ANTRIM,BALLYMENA,BALLEE,,Urban,6,1.52
95DD05W1,Ballykeel,Northern HSCT,NORTH ANTRIM,NORTH ANTRIM,BALLYMENA,BALLYKEEL,,Urban,6,1.09
95DD06W1,Ballyloughan,Northern HSCT,NORTH ANTRIM,NORTH ANTRIM,BALLYMENA,BALLYLOUGHAN,,Urban,7,0.98
95DD07S1,Broughshane 1,Northern HSCT,NORTH ANTRIM,NORTH ANTRIM,BALLYMENA,BROUGHSHANE,,Rural,4,5.76
95DD07S2,Broughshane 2,Northern HSCT,NORTH ANTRIM,NORTH ANTRIM,BALLYMENA,BROUGHSHANE,,Rural,4,6.22
95DD08W1,Castle Demesne,Northern HSCT,NORTH ANTRIM,NORTH ANTRIM,BALLYMENA,CASTLE DEMESNE,,Urban,8,1.13
95DD09W1,Craigywarren,Northern HSCT,NORTH ANTRIM,NORTH ANTRIM,BALLYMENA,CRAIGYWARREN,,Rural,6,60.43
95DD10W1,Cullybackey,Northern HSCT,NORTH ANTRIM,NORTH ANTRIM,BALLYMENA,CULLYBACKEY,,Rural,9,4.85
95DD11W1,Dunclug,Northern HSCT,NORTH ANTRIM,NORTH ANTRIM,BALLYMENA,DUNCLUG,,Urban,8,0.71
95DD12W1,Dunminning,Northern HSCT,NORTH ANTRIM,NORTH ANTRIM,BALLYMENA,DUNMINNING,,Rural,6,52.76
95DD13W1,Fair Green,Northern HSCT,NORTH ANTRIM,NORTH ANTRIM,BALLYMENA,FAIR GREEN,,Urban,4,0.64
95DD14S1,Galgorm 1,Northern HSCT,NORTH ANTRIM,NORTH ANTRIM,BALLYMENA,GALGORM,,Mixed urban/rural,4,4.28
95DD14S2,Galgorm 2,Northern HSCT,NORTH ANTRIM,NORTH ANTRIM,BALLYMENA,GALGORM,,Mixed urban/rural,4,5.78
95DD15W1,Glenravel,Northern HSCT,NORTH ANTRIM,NORTH ANTRIM,BALLYMENA,GLENRAVEL,,Rural,7,89.69
95DD16W1,Glenwhirry,Northern HSCT,NORTH ANTRIM,NORTH ANTRIM,BALLYMENA,GLENWHIRRY,,Rural,7,115.8
95DD17W1,Grange,Northern HSCT,NORTH ANTRIM,NORTH ANTRIM,BALLYMENA,GRANGE,,Rural,7,60.37
95DD18W1,Harryville,Northern HSCT,NORTH ANTRIM,NORTH ANTRIM,BALLYMENA,HARRYVILLE,,Urban,7,2.89
95DD19S1,Kells 1,Northern HSCT,NORTH ANTRIM,NORTH ANTRIM,BALLYMENA,KELLS,,Rural,5,3.16
95DD19S2,Kells 2,Northern HSCT,NORTH ANTRIM,NORTH ANTRIM,BALLYMENA,KELLS,,Rural,4,18.64
95DD20W1,Moat,Northern HSCT,NORTH ANTRIM,NORTH ANTRIM,BALLYMENA,MOAT,,Urban,6,0.44
95DD21W1,Park,Northern HSCT,NORTH ANTRIM,NORTH ANTRIM,BALLYMENA,PARK,,Urban,5,0.96
95DD22S1,Portglenone 1,Northern HSCT,NORTH ANTRIM,NORTH ANTRIM,BALLYMENA,PORTGLENONE,,Rural,4,22.7
95DD22S2,Portglenone 2,Northern HSCT,NORTH ANTRIM,NORTH ANTRIM,BALLYMENA,PORTGLENONE,,Rural,4,16.83
95DD23W1,Slemish,Northern HSCT,NORTH ANTRIM,NORTH ANTRIM,BALLYMENA,SLEMISH,,Rural,6,135.94
95DD24W1,Summerfield,Northern HSCT,NORTH ANTRIM,NORTH ANTRIM,BALLYMENA,SUMMERFIELD,,Urban,6,1.63
95EE01W1,Ballyhoe and Corkey,Northern HSCT,NORTH ANTRIM,NORTH ANTRIM,BALLYMONEY,BALLYHOE AND CORKEY,,Rural,4,81.63
95EE02W1,Benvardin,Northern HSCT,NORTH ANTRIM,NORTH ANTRIM,BALLYMONEY,BENVARDIN,,Rural,4,36.04
95EE03W1,Carnany,Northern HSCT,NORTH ANTRIM,NORTH ANTRIM,BALLYMONEY,CARNANY,,Urban,6,0.89
95EE04W1,Clogh Mills,Northern HSCT,NORTH ANTRIM,NORTH ANTRIM,BALLYMONEY,CLOGH MILLS,,Rural,4,24.14
95EE05W1,Dervock,Northern HSCT,NORTH ANTRIM,NORTH ANTRIM,BALLYMONEY,DERVOCK,,Rural,4,38.82
95EE06W1,Dunloy,Northern HSCT,NORTH ANTRIM,NORTH ANTRIM,BALLYMONEY,DUNLOY,,Rural,5,22.4
95EE07W1,Fairhill,Northern HSCT,NORTH ANTRIM,NORTH ANTRIM,BALLYMONEY,FAIRHILL,,Urban,4,2.21
95EE08W1,Glebe,Northern HSCT,NORTH ANTRIM,NORTH ANTRIM,BALLYMONEY,GLEBE (BALLYMONEY),,Urban,4,0.93
95EE09W1,Killoquin Lower,Northern HSCT,NORTH ANTRIM,NORTH ANTRIM,BALLYMONEY,KILLOQUIN LOWER,,Rural,4,40.08
95EE10W1,Killoquin Upper,Northern HSCT,NORTH ANTRIM,NORTH ANTRIM,BALLYMONEY,KILLOQUIN UPPER,,Rural,4,24.12
95EE11W1,Knockaholet,Northern HSCT,NORTH ANTRIM,NORTH ANTRIM,BALLYMONEY,KNOCKAHOLET,,Rural,4,49.89
95EE12W1,Newhill,Northern HSCT,NORTH ANTRIM,NORTH ANTRIM,BALLYMONEY,NEWHILL,,Urban,6,0.61
95EE13W1,Route,Northern HSCT,NORTH ANTRIM,NORTH ANTRIM,BALLYMONEY,ROUTE,,Urban,5,2.64
95EE14W1,Seacon,Northern HSCT,NORTH ANTRIM,NORTH ANTRIM,BALLYMONEY,SEACON,,Mixed urban/rural,5,18.84
95EE15W1,Stranocum,Northern HSCT,NORTH ANTRIM,NORTH ANTRIM,BALLYMONEY,STRANOCUM,,Rural,4,40.1
95EE16W1,The Vow,Northern HSCT,NORTH ANTRIM,NORTH ANTRIM,BALLYMONEY,THE VOW,,Rural,5,34.84
95FF01S1,Ballydown 1,Southern HSCT,UPPER BANN,UPPER BANN,BANBRIDGE,BALLYDOWN,,Urban,3,0.82
95FF01S2,Ballydown 2,Southern HSCT,UPPER BANN,UPPER BANN,BANBRIDGE,BALLYDOWN,,Urban,3,7.13
95FF02W1,Ballyward,Southern HSCT,SOUTH DOWN,SOUTH DOWN,BANBRIDGE,BALLYWARD,,Rural,6,86.78
95FF03W1,Banbridge West,Southern HSCT,UPPER BANN,UPPER BANN,BANBRIDGE,BANBRIDGE WEST,,Urban,8,1.32
95FF04W1,Bannside,Southern HSCT,SOUTH DOWN,SOUTH DOWN,BANBRIDGE,BANNSIDE,,Rural,6,71.3
95FF05W1,Dromore North,Southern HSCT,LAGAN VALLEY,LAGAN VALLEY,BANBRIDGE,DROMORE NORTH,,Urban,7,3.47
95FF06S1,Dromore South 1,Southern HSCT,LAGAN VALLEY,LAGAN VALLEY,BANBRIDGE,DROMORE SOUTH,,Urban,5,0.82
95FF06S2,Dromore South 2,Southern HSCT,LAGAN VALLEY,LAGAN VALLEY,BANBRIDGE,DROMORE SOUTH,,Mixed urban/rural,5,11.29
95FF07W1,Edenderry,Southern HSCT,UPPER BANN,UPPER BANN,BANBRIDGE,EDENDERRY (BANBRIDGE),,Urban,8,0.92
95FF08W1,Fort,Southern HSCT,UPPER BANN,UPPER BANN,BANBRIDGE,FORT,,Urban,6,1.24
95FF09W1,Gilford,Southern HSCT,UPPER BANN,UPPER BANN,BANBRIDGE,GILFORD,,Rural,5,15.48
95FF10W1,Gransha,Southern HSCT,LAGAN VALLEY,LAGAN VALLEY,BANBRIDGE,GRANSHA,,Rural,6,51.54
95FF11W1,Katesbridge,Southern HSCT,SOUTH DOWN,SOUTH DOWN,BANBRIDGE,KATESBRIDGE,,Rural,6,71.42
95FF12W1,Lawrencetown,Southern HSCT,UPPER BANN,UPPER BANN,BANBRIDGE,LAWRENCETOWN,,Rural,5,27.69
95FF13W1,Loughbrickland,Southern HSCT,UPPER BANN,UPPER BANN,BANBRIDGE,LOUGHBRICKLAND,,Rural,6,42.02
95FF14W1,Quilly,Southern HSCT,LAGAN VALLEY,LAGAN VALLEY,BANBRIDGE,QUILLY,,Rural,6,48.62
95FF15W1,Rathfriland,Southern HSCT,SOUTH DOWN,SOUTH DOWN,BANBRIDGE,RATHFRILAND,,Rural,7,6.12
95FF16W1,Seapatrick,Southern HSCT,UPPER BANN,UPPER BANN,BANBRIDGE,SEAPATRICK,,Urban,6,3.91
95FF17W1,The Cut,Southern HSCT,UPPER BANN,UPPER BANN,BANBRIDGE,THE CUT,,Urban,6,0.76
95GG01S1,Andersonstown 1,Belfast HSCT,BELFAST WEST,BELFAST WEST,BELFAST,ANDERSONSTOWN,,Urban,6,0.42
95GG01S2,Andersonstown 2,Belfast HSCT,BELFAST WEST,BELFAST WEST,BELFAST,ANDERSONSTOWN,,Urban,5,0.3
95GG01S3,Andersonstown 3,Belfast HSCT,BELFAST WEST,BELFAST WEST,BELFAST,ANDERSONSTOWN,,Urban,5,0.35
95GG02S1,Ardoyne 1,Belfast HSCT,BELFAST NORTH,BELFAST NORTH,BELFAST,ARDOYNE,,Urban,6,0.14
95GG02S2,Ardoyne 2,Belfast HSCT,BELFAST NORTH,BELFAST NORTH,BELFAST,ARDOYNE,,Urban,5,0.17
95GG02S3,Ardoyne 3,Belfast HSCT,BELFAST NORTH,BELFAST NORTH,BELFAST,ARDOYNE,,Urban,3,0.27
95GG03S1,Ballyhackamore 1,Belfast HSCT,BELFAST EAST,BELFAST EAST,BELFAST,BALLYHACKAMORE,,Urban,7,0.41
95GG03S2,Ballyhackamore 2,Belfast HSCT,BELFAST EAST,BELFAST EAST,BELFAST,BALLYHACKAMORE,,Urban,4,0.42
95GG03S3,Ballyhackamore 3,Belfast HSCT,BELFAST EAST,BELFAST EAST,BELFAST,BALLYHACKAMORE,,Urban,7,0.32
95GG04S1,Ballymacarrett 1,Belfast HSCT,BELFAST EAST,BELFAST EAST,BELFAST,BALLYMACARRETT,,Urban,5,0.4
95GG04S2,Ballymacarrett 2,Belfast HSCT,BELFAST EAST,BELFAST EAST,BELFAST,BALLYMACARRETT,,Urban,3,0.16
95GG04S3,Ballymacarrett 3,Belfast HSCT,BELFAST EAST,BELFAST EAST,BELFAST,BALLYMACARRETT,,Urban,5,0.22
95GG05S1,Ballynafeigh 1,Belfast HSCT,BELFAST SOUTH,BELFAST SOUTH,BELFAST,BALLYNAFEIGH,,Urban,6,0.23
95GG05S2,Ballynafeigh 2,Belfast HSCT,BELFAST SOUTH,BELFAST SOUTH,BELFAST,BALLYNAFEIGH,,Urban,7,0.22
95GG05S3,Ballynafeigh 3,Belfast HSCT,BELFAST SOUTH,BELFAST SOUTH,BELFAST,BALLYNAFEIGH,,Urban,7,0.22
95GG06S1,Ballysillan 1,Belfast HSCT,BELFAST NORTH,BELFAST NORTH,BELFAST,BALLYSILLAN,,Urban,7,0.33
95GG06S2,Ballysillan 2,Belfast HSCT,BELFAST NORTH,BELFAST NORTH,BELFAST,BALLYSILLAN,,Urban,7,0.27
95GG06S3,Ballysillan 3,Belfast HSCT,BELFAST NORTH,BELFAST NORTH,BELFAST,BALLYSILLAN,,Urban,6,0.5
95GG07S1,Beechmount 1,Belfast HSCT,BELFAST WEST,BELFAST WEST,BELFAST,BEECHMOUNT,,Urban,5,0.25
95GG07S2,Beechmount 2,Belfast HSCT,BELFAST WEST,BELFAST WEST,BELFAST,BEECHMOUNT,,Urban,5,0.22
95GG07S3,Beechmount 3,Belfast HSCT,BELFAST WEST,BELFAST WEST,BELFAST,BEECHMOUNT,,Urban,5,0.37
95GG08S1,Bellevue 1,Belfast HSCT,BELFAST NORTH,BELFAST NORTH,BELFAST,BELLEVUE,,Urban,5,1.97
95GG08S2,Bellevue 2,Belfast HSCT,BELFAST NORTH,BELFAST NORTH,BELFAST,BELLEVUE,,Urban,6,0.51
95GG08S3,Bellevue 3,Belfast HSCT,BELFAST NORTH,BELFAST NORTH,BELFAST,BELLEVUE,,Urban,5,0.49
95GG09S1,Belmont 1,Belfast HSCT,BELFAST EAST,BELFAST EAST,BELFAST,BELMONT,,Urban,5,0.87
95GG09S2,Belmont 2,Belfast HSCT,BELFAST EAST,BELFAST EAST,BELFAST,BELMONT,,Urban,6,0.43
95GG09S3,Belmont 3,Belfast HSCT,BELFAST EAST,BELFAST EAST,BELFAST,BELMONT,,Urban,7,0.48
95GG10S1,Blackstaff 1,Belfast HSCT,BELFAST SOUTH,BELFAST SOUTH,BELFAST,BLACKSTAFF,,Urban,8,1.6
95GG10S2,Blackstaff 2,Belfast HSCT,BELFAST SOUTH,BELFAST SOUTH,BELFAST,BLACKSTAFF,,Urban,8,0.32
95GG11S1,Bloomfield 1 (Belfast LGD),Belfast HSCT,BELFAST EAST,BELFAST EAST,BELFAST,BLOOMFIELD (BELFAST),,Urban,4,0.29
95GG11S2,Bloomfield 2 (Belfast LGD),Belfast HSCT,BELFAST EAST,BELFAST EAST,BELFAST,BLOOMFIELD (BELFAST),,Urban,6,0.32
95GG11S3,Bloomfield 3 (Belfast LGD),Belfast HSCT,BELFAST EAST,BELFAST EAST,BELFAST,BLOOMFIELD (BELFAST),,Urban,5,0.13
