Area of Usual Residence,Area of Workplace,Males
S02001883,S02001895,1
S02001883,S02001896,1
S02001883,S02001897,9
S02001883,S02001898,3
S02001883,S02001901,1
S02001883,S02001902,1
S02001883,S02001905,2
S02001883,S02001906,1
S02001883,S02001908,4
S02001883,S02001910,1
S02001883,S02001915,1
S02001883,S02001916,2
S02001883,S02001921,1
S02001883,S02001922,3
S02001883,S02001923,1
S02001883,S02001924,5
S02001883,S02001925,17
S02001883,S02001926,2
S02001883,S02001927,5
S02001883,S02001929,1
S02001883,S02001930,2
S02001883,S02001932,32
S02001883,S02001933,25
S02001883,S02001934,74
S02001883,S02001935,4
S02001883,S02001936,12
S02001883,S02001937,1
S02001883,S02001938,2
S02001883,S02001939,3
S02001883,S02001940,1
S02001883,S02001941,2
S02001883,S02001942,4
S02001883,S02001943,2
S02001883,S02001945,1
S02001883,S02001949,1
S02001883,S02001950,1
S02001883,S02001952,1
S02001883,S02001954,2
S02001883,S02001955,1
S02001883,S02001957,2
S02001883,S02001958,2
S02001883,S02001961,1
S02001883,S02001963,4
S02001883,S02001964,2
S02001883,S02001970,1
S02001883,S02001971,2
S02001883,S02002056,1
S02001883,S02002110,1
S02001883,S02002136,1
S02001883,S02002138,1
S02001883,S02002139,4
S02001883,S02002149,1
S02001883,S02002154,1
S02001883,S02002155,2
S02001883,S02002160,6
S02001883,S02002163,1
S02001883,S02002165,1
S02001883,S02002166,4
S02001883,S02002168,6
S02001883,S02002169,1
S02001883,S02002170,3
S02001883,S02002200,3
S02001883,S02002206,1
S02001883,S02002231,1
S02001883,S02002256,7
S02001883,S02002262,2
S02001883,S02002264,1
S02001883,S02002270,1
S02001883,S02002273,1
S02001883,S02002274,6
S02001883,S02002277,1
S02001883,S02002278,9
S02001883,S02002279,1
S02001883,S02002282,6
S02001883,S02002327,1
S02001883,S02002333,1
S02001883,S02002343,1
S02001883,S02002348,1
S02001883,S02002384,1
S02001883,S02002391,10
S02001883,S02002395,4
S02001883,S02002398,3
S02001883,S02002401,2
S02001883,S02002403,2
S02001883,S02002406,1
S02001883,S02002408,14
S02001883,S02002409,7
S02001883,S02002411,3
S02001883,S02002412,1
S02001883,S02002413,2
S02001883,S02002414,1
S02001883,S02002416,8
S02001883,S02002421,3
S02001883,S02002422,1
S02001883,S02002423,1
S02001883,S02002425,5
S02001883,S02002427,1
S02001883,S02002430,1
S02001883,S02002435,6
S02001883,S02002448,3
S02001883,S02002461,1
S02001883,S02002481,3
S02001883,S02002483,1
S02001883,S02002502,1
S02001884,England,7
S02001884,OD0000001,81
S02001884,OD0000002,6
S02001884,OD0000003,205
S02001884,OD0000004,2
S02001884,S02001370,1
S02001884,S02001389,1
S02001884,S02001432,2
S02001884,S02001481,1
S02001884,S02001495,1
S02001884,S02001499,1
S02001884,S02001502,1
S02001884,S02001520,1
S02001884,S02001521,1
S02001884,S02001524,1
S02001884,S02001526,1
S02001884,S02001556,3
S02001884,S02001557,1
S02001884,S02001558,2
S02001884,S02001559,1
S02001884,S02001560,1
S02001884,S02001562,1
S02001884,S02001565,2
S02001884,S02001566,4
S02001884,S02001567,1
S02001884,S02001568,1
S02001884,S02001574,3
S02001884,S02001575,5
S02001884,S02001577,3
S02001884,S02001619,1
S02001884,S02001622,2
S02001884,S02001656,1
S02001884,S02001664,1
S02001884,S02001706,1
S02001884,S02001845,1
S02001884,S02001846,4
S02001884,S02001850,2
S02001884,S02001851,2
S02001884,S02001855,7
S02001884,S02001856,12
S02001884,S02001857,1
S02001884,S02001858,1
S02001884,S02001859,2
S02001884,S02001860,9
S02001884,S02001861,1
S02001884,S02001862,8
S02001884,S02001863,1
S02001884,S02001864,4
S02001884,S02001865,6
S02001884,S02001866,7
S02001884,S02001867,12
S02001884,S02001868,1
S02001884,S02001869,2
S02001884,S02001870,2
S02001884,S02001871,3
S02001884,S02001872,2
S02001884,S02001873,4
S02001884,S02001874,1
S02001884,S02001875,1
S02001884,S02001877,1
S02001884,S02001878,6
S02001884,S02001879,1
S02001884,S02001880,7
S02001884,S02001881,2
S02001884,S02001882,12
S02001884,S02001883,1
S02001884,S02001884,1
S02001884,S02001885,4
S02001884,S02001886,16
S02001884,S02001887,8
S02001884,S02001888,23
S02001884,S02001889,5
S02001884,S02001890,23
S02001884,S02001891,7
S02001884,S02001892,3
S02001884,S02001893,2
S02001884,S02001894,16
S02001884,S02001896,3
S02001884,S02001897,10
S02001884,S02001899,1
S02001884,S02001901,1
S02001884,S02001903,1
S02001884,S02001906,1
S02001884,S02001907,3
S02001884,S02001908,7
S02001884,S02001910,4
S02001884,S02001916,2
S02001884,S02001919,2
S02001884,S02001920,1
S02001884,S02001922,2
S02001884,S02001923,1
S02001884,S02001924,3
S02001884,S02001925,22
S02001884,S02001926,4
S02001884,S02001927,7
S02001884,S02001928,2
S02001884,S02001929,2
S02001884,S02001930,2
S02001884,S02001932,29
S02001884,S02001933,24
S02001884,S02001934,93
S02001884,S02001935,7
S02001884,S02001936,9
S02001884,S02001937,6
S02001884,S02001938,3
S02001884,S02001939,1
S02001884,S02001940,1
S02001884,S02001941,2
S02001884,S02001943,2
S02001884,S02001944,2
S02001884,S02001945,1
S02001884,S02001946,2
S02001884,S02001949,1
S02001884,S02001950,1
S02001884,S02001952,2
S02001884,S02001953,4
S02001884,S02001958,4
S02001884,S02001959,2
S02001884,S02001963,6
S02001884,S02001964,2
S02001884,S02001970,1
S02001884,S02001971,4
S02001884,S02001973,2
S02001884,S02001976,1
S02001884,S02001977,1
S02001884,S02002046,2
S02001884,S02002099,1
S02001884,S02002100,1
S02001884,S02002112,1
S02001884,S02002134,1
S02001884,S02002141,2
S02001884,S02002149,1
S02001884,S02002150,1
S02001884,S02002160,5
S02001884,S02002161,1
S02001884,S02002163,1
S02001884,S02002165,2
S02001884,S02002166,4
S02001884,S02002168,2
S02001884,S02002169,1
S02001884,S02002170,1
S02001884,S02002173,1
S02001884,S02002175,1
S02001884,S02002176,2
S02001884,S02002177,1
S02001884,S02002178,1
S02001884,S02002186,1
S02001884,S02002198,2
S02001884,S02002200,3
S02001884,S02002203,1
S02001884,S02002206,1
S02001884,S02002256,2
S02001884,S02002259,1
S02001884,S02002261,1
S02001884,S02002262,1
S02001884,S02002264,1
S02001884,S02002270,1
S02001884,S02002274,5
S02001884,S02002278,7
S02001884,S02002282,8
S02001884,S02002327,1
S02001884,S02002354,1
S02001884,S02002369,1
S02001884,S02002375,1
S02001884,S02002384,7
S02001884,S02002385,1
S02001884,S02002391,5
S02001884,S02002396,2
S02001884,S02002398,2
S02001884,S02002401,2
S02001884,S02002403,2
S02001884,S02002406,2
S02001884,S02002408,15
S02001884,S02002409,8
S02001884,S02002410,3
S02001884,S02002411,1
S02001884,S02002413,1
S02001884,S02002414,1
S02001884,S02002416,3
S02001884,S02002421,1
S02001884,S02002423,4
S02001884,S02002425,6
S02001884,S02002435,6
S02001884,S02002447,1
S02001884,S02002453,2
S02001884,S02002460,1
S02001884,S02002461,2
S02001884,S02002471,1
S02001884,S02002479,1
S02001884,S02002481,1
S02001884,S02002484,1
S02001884,S02002492,1
S02001884,S02002500,2
S02001884,S02002502,1
S02001885,England,6
S02001885,OD0000001,82
S02001885,OD0000002,7
S02001885,OD0000003,176
S02001885,OD0000004,6
S02001885,S02001338,1
S02001885,S02001353,1
S02001885,S02001398,1
S02001885,S02001469,1
S02001885,S02001486,1
S02001885,S02001494,2
S02001885,S02001502,1
S02001885,S02001512,2
S02001885,S02001520,2
S02001885,S02001521,1
S02001885,S02001524,3
S02001885,S02001525,1
S02001885,S02001527,1
S02001885,S02001558,7
S02001885,S02001563,1
S02001885,S02001564,1
S02001885,S02001566,2
S02001885,S02001568,3
S02001885,S02001569,3
S02001885,S02001571,1
S02001885,S02001574,4
S02001885,S02001575,1
S02001885,S02001586,1
S02001885,S02001620,2
S02001885,S02001627,1
S02001885,S02001642,1
S02001885,S02001663,1
S02001885,S02001683,1
S02001885,S02001718,1
S02001885,S02001727,1
S02001885,S02001842,4
S02001885,S02001845,4
S02001885,S02001849,2
S02001885,S02001850,2
S02001885,S02001852,1
S02001885,S02001855,17
S02001885,S02001856,9
S02001885,S02001857,5
S02001885,S02001858,1
S02001885,S02001859,5
S02001885,S02001860,3
S02001885,S02001861,4
S02001885,S02001862,5
S02001885,S02001863,1
S02001885,S02001864,6
S02001885,S02001865,10
S02001885,S02001866,5
S02001885,S02001867,9
S02001885,S02001868,3
S02001885,S02001869,5
S02001885,S02001870,5
S02001885,S02001871,3
S02001885,S02001872,2
S02001885,S02001873,4
S02001885,S02001874,1
S02001885,S02001875,1
S02001885,S02001876,1
S02001885,S02001877,1
S02001885,S02001878,3
S02001885,S02001879,3
S02001885,S02001880,6
S02001885,S02001881,1
S02001885,S02001882,6
S02001885,S02001884,2
S02001885,S02001885,3
S02001885,S02001886,15
S02001885,S02001887,7
S02001885,S02001888,19
S02001885,S02001889,9
S02001885,S02001890,21
S02001885,S02001891,4
S02001885,S02001893,1
S02001885,S02001894,7
S02001885,S02001896,1
S02001885,S02001897,12
S02001885,S02001898,3
S02001885,S02001901,1
S02001885,S02001902,3
S02001885,S02001903,1
S02001885,S02001907,2
S02001885,S02001908,4
S02001885,S02001909,1
S02001885,S02001910,1
S02001885,S02001911,1
S02001885,S02001914,2
S02001885,S02001915,2
S02001885,S02001916,2
S02001885,S02001921,2
S02001885,S02001922,7
S02001885,S02001924,4
S02001885,S02001925,15
S02001885,S02001926,1
S02001885,S02001927,6
S02001885,S02001929,2
S02001885,S02001931,1
S02001885,S02001932,39
S02001885,S02001933,39
S02001885,S02001934,104
S02001885,S02001935,10
S02001885,S02001936,11
S02001885,S02001937,3
S02001885,S02001938,4
S02001885,S02001939,2
S02001885,S02001940,1
S02001885,S02001941,1
S02001885,S02001943,2
S02001885,S02001944,1
S02001885,S02001945,1
S02001885,S02001946,1
S02001885,S02001950,1
S02001885,S02001952,8
S02001885,S02001953,4
S02001885,S02001954,2
S02001885,S02001957,2
S02001885,S02001958,5
S02001885,S02001961,2
S02001885,S02001963,7
S02001885,S02001964,1
S02001885,S02001970,5
S02001885,S02001974,1
S02001885,S02001976,1
S02001885,S02002043,1
S02001885,S02002046,1
S02001885,S02002047,1
S02001885,S02002050,1
S02001885,S02002109,1
S02001885,S02002111,1
S02001885,S02002112,1
S02001885,S02002115,1
S02001885,S02002134,1
S02001885,S02002138,1
S02001885,S02002140,1
S02001885,S02002150,2
S02001885,S02002154,1
S02001885,S02002155,1
S02001885,S02002157,3
S02001885,S02002160,1
S02001885,S02002165,2
S02001885,S02002166,4
S02001885,S02002168,4
S02001885,S02002169,1
S02001885,S02002174,1
S02001885,S02002175,3
S02001885,S02002185,1
S02001885,S02002187,1
S02001885,S02002194,1
S02001885,S02002198,2
S02001885,S02002200,1
S02001885,S02002204,1
S02001885,S02002212,2
S02001885,S02002255,1
S02001885,S02002256,4
S02001885,S02002261,1
S02001885,S02002262,1
S02001885,S02002263,2
S02001885,S02002273,2
S02001885,S02002274,10
S02001885,S02002275,1
S02001885,S02002278,3
S02001885,S02002279,3
S02001885,S02002281,1
S02001885,S02002282,13
S02001885,S02002341,1
S02001885,S02002348,1
S02001885,S02002360,1
S02001885,S02002366,1
S02001885,S02002377,2
S02001885,S02002379,1
S02001885,S02002384,4
S02001885,S02002391,4
S02001885,S02002392,1
S02001885,S02002394,2
S02001885,S02002395,2
S02001885,S02002396,1
S02001885,S02002398,1
S02001885,S02002401,3
S02001885,S02002402,4
S02001885,S02002403,3
S02001885,S02002406,2
S02001885,S02002407,4
S02001885,S02002408,5
S02001885,S02002409,7
S02001885,S02002410,3
S02001885,S02002411,2
S02001885,S02002414,1
S02001885,S02002416,4
S02001885,S02002419,1
S02001885,S02002421,2
S02001885,S02002423,1
S02001885,S02002425,8
S02001885,S02002431,1
S02001885,S02002433,1
S02001885,S02002435,8
S02001885,S02002444,1
S02001885,S02002447,2
S02001885,S02002448,3
S02001885,S02002453,1
S02001885,S02002460,1
S02001885,S02002461,6
S02001885,S02002481,2
S02001885,S02002482,2
S02001885,S02002486,3
S02001885,S02002498,1
S02001885,S02002506,1
S02001885,S02002508,1
S02001886,England,7
S02001886,OD0000001,115
S02001886,OD0000002,6
S02001886,OD0000003,206
S02001886,OD0000004,4
S02001886,S02001371,1
S02001886,S02001384,1
S02001886,S02001387,2
S02001886,S02001391,1
S02001886,S02001402,1
S02001886,S02001409,1
S02001886,S02001445,1
S02001886,S02001485,1
S02001886,S02001497,1
S02001886,S02001502,2
S02001886,S02001506,1
S02001886,S02001507,1
S02001886,S02001509,2
S02001886,S02001510,1
S02001886,S02001518,1
S02001886,S02001519,1
S02001886,S02001520,8
S02001886,S02001521,2
S02001886,S02001524,2
S02001886,S02001527,1
S02001886,S02001558,2
S02001886,S02001562,1
S02001886,S02001563,1
S02001886,S02001564,1
S02001886,S02001567,1
S02001886,S02001568,6
S02001886,S02001571,5
S02001886,S02001572,1
S02001886,S02001573,2
S02001886,S02001574,2
S02001886,S02001575,7
S02001886,S02001619,1
S02001886,S02001620,1
S02001886,S02001622,2
S02001886,S02001623,1
S02001886,S02001661,1
S02001886,S02001682,2
S02001886,S02001683,3
S02001886,S02001716,1
S02001886,S02001724,1
S02001886,S02001738,1
S02001886,S02001747,1
S02001886,S02001842,1
S02001886,S02001843,2
S02001886,S02001844,1
S02001886,S02001845,11
S02001886,S02001846,4
S02001886,S02001849,5
S02001886,S02001850,3
S02001886,S02001851,1
S02001886,S02001852,2
S02001886,S02001853,1
S02001886,S02001855,18
S02001886,S02001856,12
S02001886,S02001858,1
S02001886,S02001859,10
S02001886,S02001860,6
S02001886,S02001861,5
S02001886,S02001862,4
S02001886,S02001863,2
S02001886,S02001864,3
S02001886,S02001865,1
S02001886,S02001866,10
S02001886,S02001867,17
S02001886,S02001868,6
S02001886,S02001869,6
S02001886,S02001870,4
S02001886,S02001871,4
S02001886,S02001872,3
S02001886,S02001873,9
S02001886,S02001874,1
S02001886,S02001875,1
S02001886,S02001876,2
S02001886,S02001878,7
S02001886,S02001879,6
S02001886,S02001880,4
S02001886,S02001881,3
S02001886,S02001882,4
S02001886,S02001884,5
S02001886,S02001885,3
S02001886,S02001886,43
S02001886,S02001887,11
S02001886,S02001888,9
S02001886,S02001889,8
S02001886,S02001890,28
S02001886,S02001891,10
S02001886,S02001892,3
S02001886,S02001893,3
S02001886,S02001894,11
S02001886,S02001895,3
S02001886,S02001897,10
S02001886,S02001898,1
S02001886,S02001900,1
S02001886,S02001901,1
S02001886,S02001907,2
S02001886,S02001908,4
S02001886,S02001910,5
S02001886,S02001912,2
S02001886,S02001915,3
S02001886,S02001922,4
S02001886,S02001923,1
S02001886,S02001924,3
S02001886,S02001925,8
S02001886,S02001926,1
S02001886,S02001927,4
S02001886,S02001928,1
S02001886,S02001930,1
S02001886,S02001931,3
S02001886,S02001932,50
S02001886,S02001933,56
S02001886,S02001934,192
S02001886,S02001935,10
S02001886,S02001936,14
S02001886,S02001937,8
S02001886,S02001938,5
S02001886,S02001940,3
S02001886,S02001941,3
S02001886,S02001942,2
S02001886,S02001943,1
S02001886,S02001946,3
S02001886,S02001949,2
S02001886,S02001950,1
S02001886,S02001951,1
S02001886,S02001952,13
S02001886,S02001953,8
S02001886,S02001954,2
S02001886,S02001956,2
S02001886,S02001957,3
S02001886,S02001958,7
S02001886,S02001961,1
S02001886,S02001963,4
S02001886,S02001970,6
S02001886,S02001998,1
S02001886,S02002035,1
S02001886,S02002037,1
S02001886,S02002040,1
S02001886,S02002045,1
S02001886,S02002046,3
S02001886,S02002047,1
S02001886,S02002058,1
S02001886,S02002098,1
S02001886,S02002103,1
S02001886,S02002138,1
S02001886,S02002139,1
S02001886,S02002142,1
S02001886,S02002149,2
S02001886,S02002150,2
S02001886,S02002154,1
S02001886,S02002156,3
S02001886,S02002160,1
S02001886,S02002166,5
S02001886,S02002168,2
S02001886,S02002170,2
S02001886,S02002175,1
S02001886,S02002176,3
S02001886,S02002178,2
S02001886,S02002186,5
S02001886,S02002188,3
S02001886,S02002191,1
S02001886,S02002193,1
S02001886,S02002194,1
S02001886,S02002198,2
S02001886,S02002200,1
S02001886,S02002206,2
S02001886,S02002209,1
S02001886,S02002255,2
S02001886,S02002256,6
S02001886,S02002258,1
S02001886,S02002262,3
S02001886,S02002263,1
S02001886,S02002264,1
S02001886,S02002270,1
S02001886,S02002271,1
S02001886,S02002273,3
S02001886,S02002274,9
S02001886,S02002277,1
S02001886,S02002278,9
S02001886,S02002279,3
S02001886,S02002282,15
S02001886,S02002284,1
S02001886,S02002348,2
S02001886,S02002350,1
S02001886,S02002358,1
S02001886,S02002366,1
S02001886,S02002375,2
S02001886,S02002376,1
S02001886,S02002380,1
S02001886,S02002383,1
S02001886,S02002384,5
S02001886,S02002391,6
S02001886,S02002395,2
S02001886,S02002398,1
S02001886,S02002399,1
S02001886,S02002401,2
S02001886,S02002405,1
S02001886,S02002406,2
S02001886,S02002407,1
S02001886,S02002408,2
S02001886,S02002409,6
S02001886,S02002410,2
S02001886,S02002416,9
S02001886,S02002419,2
S02001886,S02002421,3
S02001886,S02002423,8
S02001886,S02002425,17
S02001886,S02002426,3
S02001886,S02002427,1
S02001886,S02002430,1
S02001886,S02002435,6
S02001886,S02002448,1
S02001886,S02002449,1
S02001886,S02002453,2
S02001886,S02002461,5
S02001886,S02002462,3
S02001886,S02002463,1
S02001886,S02002471,2
S02001886,S02002472,1
S02001886,S02002474,1
S02001886,S02002476,1
S02001886,S02002479,1
S02001886,S02002481,1
S02001886,S02002483,1
S02001886,S02002486,1
S02001886,S02002487,1
S02001886,S02002489,2
S02001886,S02002492,1
S02001886,S02002502,1
S02001887,England,14
S02001887,OD0000001,93
S02001887,OD0000002,7
S02001887,OD0000003,154
S02001887,OD0000004,5
S02001887,S02001249,1
S02001887,S02001371,1
S02001887,S02001387,2
S02001887,S02001390,1
S02001887,S02001400,1
S02001887,S02001404,1
S02001887,S02001431,1
S02001887,S02001435,1
S02001887,S02001502,1
S02001887,S02001506,1
S02001887,S02001516,1
S02001887,S02001520,3
S02001887,S02001523,1
S02001887,S02001524,3
S02001887,S02001527,2
S02001887,S02001558,5
S02001887,S02001562,3
S02001887,S02001564,3
S02001887,S02001565,2
S02001887,S02001567,1
S02001887,S02001568,1
S02001887,S02001571,2
S02001887,S02001574,7
S02001887,S02001575,5
S02001887,S02001602,1
S02001887,S02001607,1
S02001887,S02001620,2
S02001887,S02001622,2
S02001887,S02001623,2
S02001887,S02001640,1
S02001887,S02001654,1
S02001887,S02001661,1
S02001887,S02001682,4
S02001887,S02001685,1
S02001887,S02001697,2
S02001887,S02001703,1
S02001887,S02001727,1
S02001887,S02001842,3
S02001887,S02001845,5
S02001887,S02001846,1
S02001887,S02001849,4
S02001887,S02001850,3
S02001887,S02001853,1
S02001887,S02001855,8
S02001887,S02001856,13
S02001887,S02001857,1
S02001887,S02001859,3
S02001887,S02001860,12
S02001887,S02001861,7
S02001887,S02001862,7
S02001887,S02001863,2
S02001887,S02001864,3
S02001887,S02001866,10
S02001887,S02001867,10
S02001887,S02001868,4
S02001887,S02001869,1
S02001887,S02001870,4
S02001887,S02001872,2
S02001887,S02001873,7
S02001887,S02001877,1
S02001887,S02001878,3
S02001887,S02001879,1
S02001887,S02001880,2
S02001887,S02001881,2
S02001887,S02001882,3
S02001887,S02001883,1
S02001887,S02001885,1
S02001887,S02001886,13
S02001887,S02001887,10
S02001887,S02001888,16
S02001887,S02001889,8
S02001887,S02001890,34
S02001887,S02001891,6
S02001887,S02001893,1
S02001887,S02001894,8
S02001887,S02001896,2
S02001887,S02001897,2
S02001887,S02001898,2
S02001887,S02001901,2
S02001887,S02001902,1
S02001887,S02001905,1
S02001887,S02001906,1
S02001887,S02001908,10
S02001887,S02001910,1
S02001887,S02001916,3
S02001887,S02001917,1
S02001887,S02001921,1
S02001887,S02001922,2
S02001887,S02001924,3
S02001887,S02001925,7
S02001887,S02001926,1
S02001887,S02001927,11
S02001887,S02001929,4
S02001887,S02001931,3
S02001887,S02001932,65
S02001887,S02001933,47
S02001887,S02001934,159
S02001887,S02001935,10
S02001887,S02001936,15
S02001887,S02001937,7
S02001887,S02001938,1
S02001887,S02001939,2
S02001887,S02001940,2
S02001887,S02001941,2
S02001887,S02001942,1
S02001887,S02001943,2
S02001887,S02001945,2
S02001887,S02001946,3
S02001887,S02001949,1
S02001887,S02001950,1
S02001887,S02001952,12
S02001887,S02001954,2
S02001887,S02001956,1
S02001887,S02001957,1
S02001887,S02001958,4
S02001887,S02001960,1
S02001887,S02001961,2
S02001887,S02001963,3
S02001887,S02001964,1
S02001887,S02001965,1
S02001887,S02001970,1
S02001887,S02001972,1
S02001887,S02001976,1
S02001887,S02002002,1
S02001887,S02002034,1
S02001887,S02002040,1
S02001887,S02002043,2
S02001887,S02002044,1
S02001887,S02002074,2
S02001887,S02002098,1
S02001887,S02002111,1
S02001887,S02002122,1
S02001887,S02002124,1
S02001887,S02002134,1
S02001887,S02002135,1
S02001887,S02002138,1
S02001887,S02002139,3
S02001887,S02002155,4
S02001887,S02002160,2
S02001887,S02002164,1
S02001887,S02002166,7
S02001887,S02002170,2
S02001887,S02002174,3
S02001887,S02002176,1
S02001887,S02002178,1
S02001887,S02002186,1
S02001887,S02002188,1
S02001887,S02002198,3
S02001887,S02002199,1
S02001887,S02002200,1
S02001887,S02002202,1
S02001887,S02002210,1
S02001887,S02002235,2
S02001887,S02002255,1
S02001887,S02002256,6
S02001887,S02002259,3
S02001887,S02002263,1
S02001887,S02002265,1
S02001887,S02002267,1
S02001887,S02002270,1
S02001887,S02002273,2
S02001887,S02002274,6
S02001887,S02002277,1
S02001887,S02002278,12
S02001887,S02002279,6
S02001887,S02002282,9
S02001887,S02002291,1
S02001887,S02002339,3
S02001887,S02002340,1
S02001887,S02002341,3
S02001887,S02002348,3
S02001887,S02002356,1
S02001887,S02002366,1
S02001887,S02002375,1
S02001887,S02002384,2
S02001887,S02002388,1
S02001887,S02002391,4
S02001887,S02002395,1
S02001887,S02002401,3
S02001887,S02002403,1
S02001887,S02002406,3
S02001887,S02002408,5
S02001887,S02002409,5
S02001887,S02002411,2
S02001887,S02002413,3
S02001887,S02002414,1
S02001887,S02002416,9
S02001887,S02002417,1
S02001887,S02002423,2
S02001887,S02002425,6
S02001887,S02002427,2
S02001887,S02002435,3
S02001887,S02002447,1
S02001887,S02002448,1
S02001887,S02002453,2
S02001887,S02002454,2
S02001887,S02002461,4
S02001887,S02002468,1
S02001887,S02002471,1
S02001887,S02002472,1
S02001887,S02002476,1
S02001887,S02002481,2
S02001887,S02002486,1
S02001888,England,5
S02001888,OD0000001,97
S02001888,OD0000002,3
S02001888,OD0000003,198
S02001888,OD0000004,5
S02001888,S02001371,1
S02001888,S02001387,3
S02001888,S02001415,2
S02001888,S02001427,1
S02001888,S02001499,2
S02001888,S02001502,1
S02001888,S02001508,1
S02001888,S02001520,2
S02001888,S02001521,2
S02001888,S02001524,1
S02001888,S02001527,3
S02001888,S02001531,1
S02001888,S02001558,4
S02001888,S02001560,1
S02001888,S02001562,1
S02001888,S02001566,1
S02001888,S02001568,3
S02001888,S02001569,1
S02001888,S02001570,1
S02001888,S02001573,4
S02001888,S02001575,1
S02001888,S02001622,1
S02001888,S02001682,1
S02001888,S02001703,1
S02001888,S02001704,1
S02001888,S02001727,1
S02001888,S02001731,1
S02001888,S02001738,1
S02001888,S02001767,1
S02001888,S02001768,1
S02001888,S02001769,1
S02001888,S02001843,1
S02001888,S02001844,1
S02001888,S02001845,6
S02001888,S02001850,3
S02001888,S02001852,2
S02001888,S02001855,14
S02001888,S02001856,12
S02001888,S02001858,3
S02001888,S02001860,4
S02001888,S02001861,1
S02001888,S02001862,8
S02001888,S02001863,2
S02001888,S02001864,3
S02001888,S02001865,3
S02001888,S02001866,8
S02001888,S02001867,14
S02001888,S02001868,5
S02001888,S02001869,1
S02001888,S02001870,1
S02001888,S02001872,2
S02001888,S02001873,4
S02001888,S02001878,4
S02001888,S02001879,3
S02001888,S02001881,1
S02001888,S02001882,1
S02001888,S02001885,3
S02001888,S02001886,8
S02001888,S02001887,4
S02001888,S02001888,38
S02001888,S02001889,9
S02001888,S02001890,36
S02001888,S02001891,5
S02001888,S02001893,1
S02001888,S02001894,13
S02001888,S02001895,2
S02001888,S02001896,5
S02001888,S02001897,11
S02001888,S02001898,9
S02001888,S02001906,1
S02001888,S02001908,12
S02001888,S02001909,1
S02001888,S02001911,1
S02001888,S02001913,2
S02001888,S02001916,5
S02001888,S02001921,2
S02001888,S02001922,3
S02001888,S02001924,5
S02001888,S02001925,19
S02001888,S02001926,2
S02001888,S02001927,2
S02001888,S02001929,3
S02001888,S02001932,27
S02001888,S02001933,30
S02001888,S02001934,89
S02001888,S02001935,5
S02001888,S02001936,6
S02001888,S02001937,2
S02001888,S02001938,3
S02001888,S02001939,1
S02001888,S02001940,3
S02001888,S02001941,6
S02001888,S02001943,3
S02001888,S02001946,3
S02001888,S02001947,1
S02001888,S02001952,4
S02001888,S02001953,4
S02001888,S02001956,1
S02001888,S02001957,3
S02001888,S02001958,1
S02001888,S02001961,1
S02001888,S02001962,1
S02001888,S02001963,5
S02001888,S02001969,1
S02001888,S02001970,1
S02001888,S02001971,1
S02001888,S02001972,1
S02001888,S02002076,1
S02001888,S02002127,1
S02001888,S02002139,4
S02001888,S02002146,1
S02001888,S02002149,1
S02001888,S02002150,1
S02001888,S02002160,3
S02001888,S02002165,2
S02001888,S02002166,2
S02001888,S02002174,1
S02001888,S02002175,1
S02001888,S02002186,2
S02001888,S02002188,3
S02001888,S02002191,1
S02001888,S02002198,3
S02001888,S02002200,7
S02001888,S02002202,1
S02001888,S02002206,2
S02001888,S02002256,3
S02001888,S02002258,1
S02001888,S02002259,1
S02001888,S02002264,2
S02001888,S02002274,5
S02001888,S02002276,1
S02001888,S02002278,9
S02001888,S02002279,2
S02001888,S02002280,1
S02001888,S02002282,4
S02001888,S02002356,1
S02001888,S02002384,1
S02001888,S02002391,4
S02001888,S02002397,1
S02001888,S02002398,4
S02001888,S02002403,9
S02001888,S02002406,2
S02001888,S02002407,4
S02001888,S02002408,5
S02001888,S02002409,10
S02001888,S02002411,1
S02001888,S02002413,3
S02001888,S02002416,4
S02001888,S02002421,1
S02001888,S02002423,1
S02001888,S02002425,5
S02001888,S02002433,1
S02001888,S02002435,3
S02001888,S02002445,1
S02001888,S02002448,1
S02001888,S02002449,1
S02001888,S02002461,3
S02001888,S02002464,1
S02001888,S02002479,1
S02001888,S02002481,4
S02001888,S02002486,1
S02001888,S02002489,1
S02001888,S02002502,1
S02001888,Wales,1
S02001889,England,5
S02001889,OD0000001,117
S02001889,OD0000002,11
S02001889,OD0000003,193
S02001889,OD0000004,6
S02001889,S02001250,1
S02001889,S02001277,2
S02001889,S02001338,1
S02001889,S02001394,1
S02001889,S02001402,1
S02001889,S02001426,3
S02001889,S02001478,1
S02001889,S02001486,1
S02001889,S02001503,1
S02001889,S02001504,1
S02001889,S02001507,1
S02001889,S02001508,1
S02001889,S02001509,3
S02001889,S02001517,1
S02001889,S02001520,1
S02001889,S02001521,2
S02001889,S02001524,3
S02001889,S02001527,1
S02001889,S02001533,2
S02001889,S02001557,2
S02001889,S02001558,4
S02001889,S02001559,1
S02001889,S02001567,1
S02001889,S02001574,11
S02001889,S02001575,5
S02001889,S02001593,1
S02001889,S02001615,2
S02001889,S02001616,1
S02001889,S02001621,1
S02001889,S02001622,3
S02001889,S02001642,1
S02001889,S02001647,3
S02001889,S02001656,1
S02001889,S02001660,2
S02001889,S02001667,1
S02001889,S02001682,5
S02001889,S02001683,1
S02001889,S02001703,1
S02001889,S02001713,1
S02001889,S02001714,1
S02001889,S02001715,2
S02001889,S02001727,2
